iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
50,4000.0,179.86,177.17,2.5,0.168,0.013,0.104,4.071,0.105,2.38,0.07,0.02,1.0,-0.03,0.06,0.0252,0.6,1600
100,4000.0,91.11,88.6,2.33,0.167,0.015,0.008,2.169,0.008,0.08,0.19,0.09,1.0,0.01,0.11,-0.0011,1.1,3200
150,4000.0,100.48,97.5,2.79,0.169,0.015,0.002,1.813,0.002,0.08,0.13,0.1,1.0,0.03,0.19,0.0003,1.4,4800
200,4000.0,64.3,61.18,2.95,0.158,0.01,-0.002,1.597,-0.002,0.09,0.06,0.09,1.0,-0.01,0.2,0.001,1.6,6400
250,4000.0,67.35,64.73,2.46,0.145,0.016,0.001,1.67,0.001,0.08,0.13,0.11,1.0,-0.04,0.21,0.0171,1.8,8000
300,4000.0,49.19,46.6,2.45,0.125,0.018,0.001,1.617,0.001,0.08,0.18,0.16,1.0,-0.07,0.25,0.0066,1.9,9600
350,4000.0,58.63,56.01,2.43,0.165,0.019,-0.001,1.507,-0.001,0.08,0.08,0.08,1.0,-0.09,0.29,0.0029,2.1,11200
400,4000.0,60.47,57.35,2.92,0.181,0.014,0.001,1.416,0.001,0.08,0.1,0.1,1.0,-0.11,0.34,-0.0011,2.2,12800
450,4000.0,48.26,44.98,3.07,0.182,0.027,-0.0,1.446,-0.0,0.08,0.06,0.07,1.0,-0.14,0.37,0.0046,2.3,14400
500,4000.0,42.08,38.62,3.27,0.169,0.019,-0.003,1.363,-0.003,0.45,0.13,0.13,1.0,-0.16,0.41,0.0018,2.3,16000
550,4000.0,39.25,35.98,3.07,0.173,0.03,0.003,1.462,0.004,0.54,0.23,0.2,1.0,-0.19,0.46,0.0089,2.2,17600
600,4000.0,38.44,35.36,2.93,0.121,0.025,-0.004,1.484,-0.004,0.28,0.09,0.1,1.0,-0.2,0.53,0.0024,2.2,19200
650,4000.0,44.79,41.4,3.23,0.14,0.012,0.011,1.875,0.011,0.33,0.31,0.24,1.0,-0.22,0.73,0.0107,2.3,20800
700,4000.0,33.21,29.86,3.18,0.144,0.025,0.01,1.882,0.01,0.35,0.43,0.39,1.13,-0.23,0.9,0.0099,2.4,22400
750,4000.0,51.78,47.53,4.15,0.097,0.008,0.002,1.844,0.003,0.35,0.28,0.28,1.29,-0.25,1.05,0.004,2.4,24000
800,4000.0,49.89,45.57,4.13,0.179,0.018,0.006,1.808,0.006,0.42,0.29,0.26,1.39,-0.26,1.13,0.0155,2.5,25600
850,4000.0,45.73,41.34,4.22,0.139,0.019,0.017,1.695,0.017,0.42,0.42,0.36,1.47,-0.27,1.21,0.0065,2.5,27200
900,4000.0,42.94,38.96,3.84,0.129,0.006,-0.001,1.625,-0.001,0.5,0.42,0.42,1.57,-0.28,1.29,0.0025,2.5,28800
950,4000.0,45.62,41.73,3.77,0.107,0.009,-0.004,1.804,-0.004,0.48,0.23,0.22,1.63,-0.3,1.34,0.0072,2.6,30400
1000,4000.0,44.62,40.19,4.33,0.095,0.005,0.018,2.075,0.019,0.41,0.68,0.55,1.67,-0.29,1.38,0.019,2.6,32000
1050,4000.0,39.01,34.88,3.87,0.229,0.023,-0.001,1.667,-0.001,0.34,0.62,0.62,1.71,-0.29,1.42,0.0159,2.5,33600
1100,4000.0,40.67,36.41,4.06,0.17,0.017,-0.001,1.664,-0.001,0.3,0.37,0.37,1.72,-0.28,1.43,0.0128,2.5,35200
1150,4000.0,33.91,30.21,3.59,0.103,0.008,0.0,1.6,0.0,0.27,0.52,0.51,1.76,-0.28,1.48,0.0125,2.6,36800
1200,4000.0,36.67,32.42,4.02,0.208,0.023,0.003,1.677,0.003,0.3,0.53,0.51,1.81,-0.28,1.53,0.014,2.6,38400
1250,4000.0,30.03,25.92,3.97,0.129,0.012,-0.002,1.712,-0.002,0.37,0.37,0.36,1.84,-0.29,1.55,0.0128,2.6,40000
1300,4000.0,33.85,29.22,4.43,0.182,0.013,-0.004,1.432,-0.004,0.44,0.22,0.24,1.87,-0.3,1.57,0.0186,2.6,41600
1350,4000.0,26.81,22.82,3.82,0.152,0.013,-0.004,1.625,-0.003,0.49,0.53,0.54,1.89,-0.31,1.58,0.0061,2.6,43200
1400,4000.0,35.5,30.81,4.54,0.138,0.018,-0.004,1.599,-0.004,0.46,0.27,0.29,1.91,-0.33,1.58,0.0128,2.7,44800
1450,4000.0,32.06,27.69,4.23,0.135,0.013,-0.012,1.639,-0.012,0.53,0.15,0.2,1.92,-0.34,1.58,0.0224,2.7,46400
1500,4000.0,30.63,26.05,4.4,0.161,0.017,0.003,1.66,0.003,0.58,0.5,0.46,1.93,-0.36,1.58,0.0019,2.7,48000
1550,4000.0,39.02,34.06,4.78,0.17,0.011,-0.008,1.53,-0.008,0.7,0.29,0.32,1.96,-0.37,1.59,0.0151,2.6,49600
1600,4000.0,34.14,29.93,4.05,0.15,0.006,-0.004,1.691,-0.004,0.57,0.35,0.35,1.97,-0.39,1.58,0.0089,2.6,51200
1650,4000.0,29.6,24.89,4.55,0.145,0.019,-0.006,1.559,-0.006,0.67,0.26,0.28,1.97,-0.4,1.56,0.0107,2.6,52800
1700,4000.0,42.94,37.4,5.41,0.116,0.007,-0.002,1.743,-0.002,0.73,0.01,0.0,1.97,-0.42,1.54,0.0042,2.6,54400
1750,4000.0,32.66,27.81,4.67,0.157,0.015,-0.007,1.552,-0.007,0.67,0.05,0.07,1.96,-0.44,1.52,0.0179,2.6,56000
1800,4000.0,25.02,20.74,4.1,0.17,0.013,-0.002,1.649,-0.002,0.71,0.11,0.12,1.97,-0.45,1.51,0.0091,2.7,57600
1850,4000.0,35.78,31.36,4.32,0.1,0.007,-0.014,1.721,-0.014,0.73,0.15,0.18,1.95,-0.47,1.49,0.0186,2.7,59200
1900,4000.0,31.67,26.78,4.71,0.156,0.016,-0.022,1.793,-0.021,0.66,0.23,0.3,1.94,-0.48,1.46,0.0078,2.7,60800
1950,4000.0,29.93,24.97,4.76,0.179,0.019,-0.001,1.641,-0.001,0.48,0.27,0.26,1.93,-0.49,1.45,0.0114,2.7,62400
2000,4000.0,37.87,32.95,4.74,0.167,0.011,-0.006,1.425,-0.006,0.76,-0.05,-0.04,1.91,-0.49,1.42,0.0086,2.7,64000
2050,4000.0,30.06,25.02,4.92,0.106,0.009,-0.001,1.617,-0.001,0.74,0.14,0.13,1.88,-0.49,1.4,0.0073,2.6,65600
2100,4000.0,31.09,25.79,5.12,0.169,0.017,0.002,1.625,0.002,0.81,0.11,0.11,1.89,-0.49,1.4,0.0088,2.7,67200
2150,4000.0,31.75,26.39,5.12,0.217,0.02,0.014,1.976,0.015,0.79,0.28,0.22,1.92,-0.5,1.42,0.0193,2.7,68800
2200,4000.0,39.13,33.1,5.88,0.13,0.013,-0.007,1.44,-0.007,0.84,0.07,0.08,1.91,-0.51,1.4,0.0108,2.7,70400
2250,4000.0,31.61,26.05,5.39,0.161,0.01,0.007,1.647,0.007,0.85,0.23,0.21,1.9,-0.51,1.4,0.0065,2.7,72000
2300,4000.0,30.21,24.67,5.38,0.136,0.014,-0.005,1.486,-0.005,0.86,-0.02,-0.01,1.88,-0.51,1.37,0.0134,2.7,73600
2350,4000.0,29.5,24.71,4.59,0.183,0.013,-0.003,1.573,-0.002,1.0,-0.01,-0.01,1.88,-0.51,1.38,0.0041,2.7,75200
2400,4000.0,30.48,25.01,5.35,0.114,0.007,-0.003,1.599,-0.003,0.87,0.08,0.09,1.91,-0.51,1.39,0.0097,2.7,76800
2450,4000.0,29.34,24.08,5.07,0.173,0.013,-0.004,1.623,-0.004,0.89,-0.02,-0.04,1.92,-0.52,1.4,0.009,2.7,78400
2500,4000.0,32.49,26.37,5.95,0.153,0.009,0.012,1.789,0.012,0.88,0.21,0.17,1.93,-0.52,1.41,0.0164,2.8,80000
2550,4000.0,24.39,18.62,5.55,0.203,0.018,0.006,1.663,0.006,0.83,0.19,0.16,1.94,-0.53,1.41,0.007,2.7,81600
2600,4000.0,33.79,27.46,6.18,0.14,0.013,-0.014,1.533,-0.013,0.78,-0.01,0.03,1.93,-0.53,1.4,0.0164,2.7,83200
2650,4000.0,33.7,27.2,6.34,0.144,0.015,0.006,1.59,0.006,0.85,-0.04,-0.05,1.95,-0.53,1.42,0.0001,2.7,84800
2700,4000.0,24.12,19.16,4.79,0.147,0.013,0.009,1.646,0.009,0.79,0.24,0.2,1.95,-0.52,1.42,0.0119,2.7,86400
2750,4000.0,25.83,20.85,4.87,0.094,0.01,-0.006,1.566,-0.006,0.88,0.27,0.27,1.93,-0.52,1.4,0.0057,2.7,88000
2800,4000.0,23.08,17.97,4.96,0.13,0.009,-0.002,1.6,-0.002,0.92,0.08,0.08,1.93,-0.52,1.41,0.0158,2.7,89600
2850,4000.0,24.86,19.15,5.6,0.107,0.008,-0.007,1.601,-0.007,0.83,-0.04,-0.04,1.94,-0.52,1.41,0.008,2.8,91200
2900,4000.0,28.08,21.96,5.95,0.155,0.015,-0.007,1.559,-0.007,0.78,0.12,0.15,1.92,-0.51,1.41,0.013,2.8,92800
2950,4000.0,31.92,26.26,5.47,0.177,0.016,-0.005,1.567,-0.005,0.75,0.02,0.03,1.89,-0.51,1.37,0.0081,2.8,94400
3000,4000.0,23.47,18.1,5.21,0.147,0.014,-0.004,1.461,-0.003,0.68,-0.04,-0.03,1.86,-0.52,1.34,0.0123,2.8,96000
3050,4000.0,32.09,26.2,5.79,0.096,0.009,-0.005,1.532,-0.005,0.75,-0.08,-0.09,1.87,-0.51,1.35,0.0073,2.7,97600
3100,4000.0,28.37,22.63,5.57,0.148,0.015,-0.003,1.395,-0.003,0.77,-0.0,-0.0,1.84,-0.51,1.33,0.0131,2.7,99200
3150,4000.0,27.83,22.23,5.49,0.103,0.007,-0.005,1.479,-0.005,0.85,-0.04,-0.04,1.83,-0.52,1.31,0.01,2.7,100800
3200,4000.0,24.47,19.58,4.8,0.086,0.009,-0.009,1.6,-0.009,0.87,0.05,0.06,1.85,-0.52,1.33,0.0089,2.8,102400
3250,4000.0,25.53,19.35,6.02,0.143,0.014,-0.014,1.593,-0.014,0.77,0.09,0.12,1.85,-0.52,1.33,0.013,2.8,104000
3300,4000.0,22.87,16.74,5.96,0.148,0.01,-0.003,1.512,-0.003,0.79,0.05,0.04,1.84,-0.53,1.31,0.0116,2.8,105600
3350,4000.0,23.66,17.95,5.58,0.127,0.012,-0.017,1.543,-0.017,0.68,-0.08,-0.03,1.83,-0.53,1.3,0.008,2.8,107200
3400,4000.0,27.38,21.37,5.88,0.125,0.009,-0.001,1.547,-0.0,0.63,0.15,0.15,1.83,-0.53,1.3,0.0146,2.8,108800
3450,4000.0,24.18,18.47,5.6,0.103,0.01,-0.003,1.586,-0.002,0.69,0.04,0.04,1.85,-0.54,1.31,0.0113,2.8,110400
3500,4000.0,32.84,26.4,6.27,0.16,0.017,0.004,1.463,0.004,0.58,0.09,0.06,1.83,-0.52,1.31,0.0068,2.8,112000
3550,4000.0,31.78,25.76,5.86,0.132,0.015,-0.006,1.419,-0.005,0.71,-0.0,0.0,1.81,-0.52,1.29,0.0141,2.7,113600
3600,4000.0,24.62,18.65,5.81,0.138,0.013,-0.002,1.378,-0.002,0.87,-0.08,-0.08,1.81,-0.51,1.3,0.0135,2.7,115200
3650,4000.0,24.92,19.23,5.56,0.126,0.006,0.008,1.595,0.008,0.73,0.15,0.11,1.8,-0.52,1.28,0.0107,2.8,116800
3700,4000.0,24.3,18.31,5.82,0.159,0.017,0.01,1.617,0.011,0.81,0.03,0.01,1.79,-0.52,1.27,0.0237,2.8,118400
3750,4000.0,28.89,23.06,5.72,0.104,0.005,0.016,1.576,0.016,0.82,0.23,0.19,1.8,-0.52,1.28,0.0148,2.8,120000
3800,4000.0,30.95,24.77,6.08,0.092,0.006,0.001,1.464,0.001,0.76,0.15,0.14,1.8,-0.52,1.28,0.0172,2.8,121600
3850,4000.0,27.63,21.88,5.65,0.089,0.008,-0.001,1.546,-0.001,0.83,0.11,0.1,1.82,-0.53,1.29,0.0216,2.8,123200
3900,4000.0,23.11,17.84,5.15,0.11,0.014,0.001,1.613,0.001,0.73,0.12,0.1,1.83,-0.52,1.31,0.0038,2.8,124800
3950,4000.0,28.37,21.92,6.3,0.136,0.011,-0.007,1.477,-0.006,0.68,0.06,0.06,1.81,-0.52,1.29,0.0145,2.8,126400
4000,4000.0,26.45,20.62,5.69,0.129,0.008,-0.003,1.729,-0.003,0.84,0.07,0.07,1.8,-0.52,1.28,0.0143,2.8,128000
