iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
50,4000.0,175.27,172.58,2.46,0.207,0.025,0.135,4.052,0.135,2.13,0.09,0.02,1.0,-0.02,0.06,0.0318,0.6,1600
100,4000.0,101.75,98.89,2.65,0.189,0.02,0.01,2.093,0.01,0.1,0.19,0.08,1.0,0.02,0.14,-0.0002,1.0,3200
150,4000.0,91.43,88.64,2.64,0.128,0.024,0.01,2.002,0.011,0.35,0.17,0.11,1.0,0.02,0.22,-0.0002,1.4,4800
200,4000.0,62.86,60.01,2.67,0.16,0.015,-0.0,1.668,-0.0,0.1,0.13,0.13,1.0,0.01,0.26,-0.0036,1.6,6400
250,4000.0,65.09,62.69,2.23,0.138,0.024,-0.0,1.386,-0.0,0.08,0.11,0.11,1.0,-0.02,0.27,-0.0053,1.8,8000
300,4000.0,42.0,39.87,1.94,0.173,0.022,0.0,1.12,0.0,0.08,0.11,0.12,1.0,-0.06,0.26,-0.0036,1.9,9600
350,4000.0,59.24,56.31,2.78,0.13,0.023,-0.005,1.332,-0.005,0.08,-0.01,0.04,1.0,-0.1,0.25,-0.0057,2.1,11200
400,4000.0,44.14,41.63,2.36,0.132,0.016,-0.003,1.148,-0.003,0.08,0.01,0.04,1.0,-0.14,0.24,-0.0018,2.2,12800
450,4000.0,40.07,37.18,2.71,0.155,0.023,-0.01,1.811,-0.01,0.35,0.12,0.11,1.0,-0.19,0.25,-0.008,2.3,14400
500,4000.0,36.57,33.25,3.16,0.147,0.02,0.014,1.688,0.014,0.57,0.14,0.11,1.0,-0.24,0.37,-0.0008,2.4,16000
550,4000.0,49.97,46.48,3.25,0.201,0.032,-0.001,1.51,-0.001,0.08,0.12,0.13,1.0,-0.27,0.43,-0.007,2.2,17600
600,4000.0,39.83,37.01,2.73,0.082,0.005,-0.002,1.33,-0.002,0.08,0.06,0.08,1.0,-0.3,0.43,-0.0049,2.3,19200
