iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
50,8000.0,190.52,187.87,2.48,0.168,0.012,0.141,4.07,0.142,2.2,0.09,0.02,1.0,-0.02,0.07,0.0305,0.6,1600
100,8000.0,102.71,99.97,2.52,0.193,0.023,0.009,2.277,0.009,0.08,0.2,0.08,1.0,0.02,0.14,-0.002,1.0,3200
150,8000.0,101.88,98.78,2.91,0.179,0.014,0.007,2.172,0.007,0.08,0.21,0.11,1.0,0.02,0.23,0.0018,1.3,4800
200,8000.0,70.3,67.15,3.0,0.133,0.017,0.0,1.687,0.0,0.08,0.1,0.1,1.0,-0.01,0.27,-0.0007,1.5,6400
250,8000.0,69.34,66.65,2.6,0.082,0.005,0.004,1.591,0.004,0.12,0.12,0.09,1.0,-0.05,0.28,0.0008,1.7,8000
300,8000.0,44.78,42.35,2.23,0.164,0.031,0.001,1.273,0.001,0.09,0.13,0.13,1.0,-0.08,0.29,-0.0017,1.9,9600
350,8000.0,58.21,55.41,2.63,0.138,0.018,-0.004,1.147,-0.004,0.11,0.05,0.08,1.0,-0.11,0.28,-0.0034,2.0,11200
400,8000.0,47.82,45.11,2.51,0.18,0.025,0.004,1.588,0.004,0.08,0.2,0.15,1.0,-0.16,0.33,-0.0053,2.1,12800
450,8000.0,39.67,36.64,2.88,0.126,0.025,-0.0,1.413,-0.0,0.08,0.13,0.12,1.0,-0.2,0.37,-0.0042,2.2,14400
500,8000.0,38.47,35.2,3.19,0.074,0.009,0.0,1.404,0.0,0.08,0.09,0.09,1.0,-0.24,0.37,-0.0065,2.2,16000
550,8000.0,39.21,36.2,2.88,0.125,0.016,-0.002,1.434,-0.002,0.08,0.02,0.05,1.0,-0.28,0.36,-0.0046,2.1,17600
600,8000.0,42.31,39.42,2.79,0.089,0.013,-0.001,1.348,-0.001,0.08,-0.07,-0.05,1.0,-0.32,0.34,-0.0074,2.2,19200
650,8000.0,38.81,35.85,2.84,0.11,0.013,-0.001,1.345,-0.001,0.08,0.03,0.06,1.0,-0.36,0.33,-0.0058,2.2,20800
700,8000.0,27.7,24.72,2.83,0.124,0.026,-0.003,1.381,-0.003,0.09,-0.03,0.01,1.0,-0.39,0.31,-0.0061,2.3,22400
750,8000.0,38.24,34.31,3.76,0.151,0.02,-0.004,1.365,-0.004,0.15,-0.1,-0.07,1.0,-0.43,0.28,-0.005,2.3,24000
800,8000.0,29.79,26.24,3.36,0.169,0.019,0.001,1.725,0.001,0.08,-0.05,-0.08,1.0,-0.46,0.42,0.0157,2.4,25600
850,8000.0,23.93,20.95,2.84,0.13,0.01,0.0,1.65,0.0,0.09,0.14,0.11,1.0,-0.48,0.5,0.0034,2.4,27200
900,8000.0,24.45,21.27,3.04,0.123,0.013,-0.0,1.521,-0.0,0.08,-0.01,-0.0,1.04,-0.49,0.55,0.0032,2.4,28800
950,8000.0,31.59,28.05,3.34,0.166,0.034,0.01,2.303,0.011,0.15,0.31,0.21,1.08,-0.51,0.58,0.0042,2.5,30400
1000,8000.0,28.64,24.71,3.78,0.126,0.02,0.002,1.597,0.002,0.1,0.25,0.22,1.15,-0.52,0.63,-0.0055,2.5,32000
1050,8000.0,32.23,28.54,3.53,0.136,0.023,0.043,2.05,0.043,0.6,0.55,0.45,1.43,-0.51,0.94,0.013,2.4,33600
1100,8000.0,29.86,26.46,3.29,0.098,0.003,0.01,2.09,0.01,0.51,0.42,0.39,1.74,-0.49,1.26,-0.0051,2.4,35200
1150,8000.0,27.47,23.86,3.46,0.128,0.022,0.019,2.034,0.019,0.48,0.53,0.47,2.06,-0.49,1.59,0.0047,2.5,36800
1200,8000.0,28.61,25.33,3.19,0.085,0.014,0.004,1.868,0.004,0.57,0.39,0.35,2.26,-0.5,1.76,-0.001,2.5,38400
1250,8000.0,31.7,27.32,4.24,0.122,0.013,-0.005,1.787,-0.005,0.71,0.3,0.29,2.36,-0.5,1.86,0.011,2.5,40000
1300,8000.0,31.74,28.04,3.58,0.103,0.014,0.005,2.168,0.005,0.34,0.64,0.56,2.46,-0.49,1.97,0.0142,2.5,41600
