iter,env_steps,score,length,achievements,sample,crafter_score,n_unlocked,unlocked_detail
2500,80000,3.446666666666666,182.98666666666668,4.36,4.8,2.449382176714329,9,collect_drink:60;collect_sapling:97;collect_wood:49;defeat_skeleton:1;defeat_zombie:37;eat_cow:3;place_plant:93;place_table:1;wake_up:93
5000,160000,4.502666666666667,189.42666666666668,5.426666666666667,5.4,3.066993292695737,8,collect_drink:84;collect_sapling:97;collect_wood:84;defeat_zombie:20;eat_cow:12;place_plant:97;place_table:52;wake_up:96
7500,240000,4.98,178.14666666666668,5.8933333333333335,4.8,3.3144802392227453,9,collect_drink:87;collect_sapling:97;collect_wood:93;defeat_zombie:24;eat_cow:12;make_wood_sword:3;place_plant:96;place_table:80;wake_up:97
10000,320000,4.873333333333334,172.74666666666667,5.8,6.2,3.673047880139647,9,collect_drink:76;collect_sapling:97;collect_wood:93;defeat_zombie:29;eat_cow:16;make_wood_sword:5;place_plant:95;place_table:80;wake_up:88
12500,400000,5.593333333333334,185.77333333333334,6.533333333333333,5.8,4.054569328362492,13,collect_coal:1;collect_drink:89;collect_sapling:97;collect_stone:3;collect_wood:99;defeat_zombie:24;eat_cow:13;make_wood_pickaxe:23;make_wood_sword:17;place_plant:97;place_stone:3;place_table:92;wake_up:95
15000,480000,5.166666666666667,178.70666666666668,6.08,6.6,4.20834137539744,10,collect_drink:91;collect_sapling:95;collect_wood:96;defeat_zombie:31;eat_cow:5;make_wood_pickaxe:4;make_wood_sword:7;place_plant:95;place_table:93;wake_up:92
17500,560000,5.8866666666666685,201.42666666666668,6.786666666666667,6.8,4.358783145481088,9,collect_drink:96;collect_sapling:99;collect_wood:100;defeat_zombie:47;eat_cow:9;make_wood_sword:36;place_plant:99;place_table:95;wake_up:99
20000,640000,5.953333333333334,200.10666666666665,6.906666666666666,6.0,4.497642421137166,13,collect_drink:92;collect_sapling:100;collect_stone:4;collect_wood:97;defeat_skeleton:1;defeat_zombie:43;eat_cow:5;make_wood_pickaxe:33;make_wood_sword:20;place_plant:100;place_stone:1;place_table:95;wake_up:99
22500,720000,6.460000000000002,199.08,7.413333333333333,8.4,4.939597407340156,12,collect_coal:7;collect_drink:100;collect_sapling:96;collect_stone:29;collect_wood:100;defeat_zombie:35;eat_cow:8;make_wood_pickaxe:65;make_wood_sword:11;place_plant:96;place_table:97;wake_up:97
25000,800000,7.713333333333335,202.97333333333333,8.64,7.6,5.350772678222849,14,collect_coal:8;collect_drink:96;collect_sapling:97;collect_stone:29;collect_wood:100;defeat_skeleton:1;defeat_zombie:49;eat_cow:29;make_wood_pickaxe:68;make_wood_sword:89;place_furnace:1;place_plant:97;place_table:99;wake_up:99
27500,880000,7.980000000000001,201.41333333333333,8.88,8.6,6.406435707857308,16,collect_coal:17;collect_drink:81;collect_sapling:96;collect_stone:51;collect_wood:100;defeat_skeleton:1;defeat_zombie:56;eat_cow:13;make_stone_sword:3;make_wood_pickaxe:79;make_wood_sword:77;place_furnace:25;place_plant:93;place_stone:5;place_table:99;wake_up:91
30000,960000,9.140000000000002,196.74666666666667,10.053333333333333,9.6,7.680464312532997,16,collect_coal:29;collect_drink:84;collect_sapling:96;collect_stone:73;collect_wood:100;defeat_skeleton:5;defeat_zombie:41;eat_cow:15;make_stone_pickaxe:1;make_wood_pickaxe:87;make_wood_sword:88;place_furnace:40;place_plant:93;place_stone:59;place_table:97;wake_up:96
32500,1040000,9.326666666666668,204.89333333333335,10.226666666666667,10.4,8.711071675530198,15,collect_coal:36;collect_drink:89;collect_sapling:92;collect_stone:75;collect_wood:100;defeat_skeleton:5;defeat_zombie:48;eat_cow:13;make_wood_pickaxe:93;make_wood_sword:85;place_furnace:27;place_plant:91;place_stone:73;place_table:96;wake_up:99
35000,1120000,9.660000000000004,212.94666666666666,10.56,10.6,9.460875279536037,16,collect_coal:37;collect_drink:89;collect_sapling:87;collect_stone:81;collect_wood:100;defeat_skeleton:9;defeat_zombie:61;eat_cow:17;make_stone_pickaxe:1;make_wood_pickaxe:92;make_wood_sword:93;place_furnace:25;place_plant:87;place_stone:81;place_table:100;wake_up:93
37500,1200000,9.326666666666668,204.4,10.226666666666667,9.2,10.051060985928345,15,collect_coal:41;collect_drink:80;collect_sapling:87;collect_stone:77;collect_wood:100;defeat_skeleton:9;defeat_zombie:59;eat_cow:20;make_wood_pickaxe:89;make_wood_sword:80;place_furnace:32;place_plant:87;place_stone:77;place_table:97;wake_up:87
